datetime,text,retweet_count,reply_count,like_count
2022-01-28 23:59:33+00:00,"Wordle 224 3/6

🟨⬜⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:32+00:00,"Wordle 223 5/6

⬜🟩⬜⬜⬜
🟨🟩⬜🟨⬜
🟨🟩⬜⬜⬜
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:31+00:00,"Wordle (ES) #22 5/6

⬜⬜⬜🟨🟩
⬜🟨⬜⬜🟩
⬜⬜🟩🟨🟩
🟩⬜🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/cd8hCQakqj",0,0,0
2022-01-28 23:59:31+00:00,@TwistNHook @atomsareenough You just love his Wordle scores.,0,1,0
2022-01-28 23:59:31+00:00,"Wordle 224 2/6

🟨⬛⬛🟨⬛
🟩🟩🟩🟩🟩

first try??",0,1,1
2022-01-28 23:59:30+00:00,Wordle is fun! It's like mastermind but instead of four pegs it's five letters. And here I was wondering why the hell people kept tweeting green and white boxes..,0,0,0
2022-01-28 23:59:29+00:00,"Wordle 223 5/6

⬛🟨⬛⬛⬛
⬛⬛⬛⬛🟩
⬛⬛🟩⬛🟩
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩

Meh",0,0,1
2022-01-28 23:59:28+00:00,"Wordle 224 3/6

⬛⬛⬛⬛⬛
🟩🟨🟨🟨🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:28+00:00,"Wordle (ES) #22 5/6

⬛⬛🟨⬛🟩
🟨🟩⬛⬛🟩
⬛🟩⬛🟩🟩
⬛🟩🟨🟩🟩
🟩🟩🟩🟩🟩

https://t.co/SNS6PlJ8hI",0,0,0
2022-01-28 23:59:28+00:00,@ccrichton @Ka20Ce Catherine do you have shares in wordle?,0,2,1
